published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-14,2024-03-14 15:00:00,1017.9,1017.9,1017.9,1017.9,0.0,5.0,5089.5,0
2024-03-17,2024-03-17 11:00:00,1010.0,1010.0,1010.0,1010.0,0.0,5.0,5050.0,0
2024-03-17,2024-03-17 12:00:00,1010.0,1010.0,1010.0,1010.0,0.0,5.0,5050.0,0
2024-03-17,2024-03-17 13:00:00,1010.0,1010.0,1010.0,1010.0,0.0,5.0,5050.0,0
2024-03-17,2024-03-17 14:00:00,1010.0,1010.0,1010.0,1010.0,0.0,5.0,5050.0,0
2024-03-17,2024-03-17 15:00:00,1010.0,1010.0,1010.0,1010.0,0.0,5.0,5050.0,0
2024-03-21,2024-03-21 11:00:00,1011.0,1011.5,1011.0,1011.0,0.0,90.0,91070.0,0
2024-03-21,2024-03-21 12:00:00,1011.0,1011.0,1011.0,1011.0,0.0,90.0,91070.0,0
2024-03-21,2024-03-21 13:00:00,1011.0,1011.0,1011.0,1011.0,0.0,90.0,91070.0,0
2024-03-21,2024-03-21 14:00:00,1011.0,1011.0,1011.0,1011.0,0.0,90.0,91070.0,0
2024-03-21,2024-03-21 15:00:00,1011.0,1012.0,1011.0,1011.0,0.0,90.0,91070.0,0
2024-03-26,2024-03-26 11:00:00,1005.0,1005.0,1005.0,1005.0,0.0,5.0,5025.0,0
2024-03-26,2024-03-26 12:00:00,1005.0,1005.0,1005.0,1005.0,0.0,5.0,5025.0,0
2024-03-26,2024-03-26 13:00:00,1005.0,1005.0,1005.0,1005.0,0.0,5.0,5025.0,0
2024-03-26,2024-03-26 14:00:00,1005.0,1005.0,1005.0,1005.0,0.0,5.0,5025.0,0
2024-03-26,2024-03-26 15:00:00,1005.0,1005.0,1005.0,1005.0,0.0,5.0,5025.0,0
2024-03-27,2024-03-27 11:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2024-03-27,2024-03-27 12:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2024-03-27,2024-03-27 13:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2024-03-27,2024-03-27 14:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2024-03-27,2024-03-27 15:00:00,1000.0,1000.0,1000.0,1000.0,0.0,5.0,5000.0,0
2024-03-28,2024-03-28 11:00:00,1008.0,1014.0,1008.0,1011.0,0.3,35.0,35640.0,1
